:START_ID,:END_ID,:TYPE,subject_entity,object_entity,source_type
CISCO_SYSTEMS,DUO_SECURITY,ACQUIRE,ORG,ORG,News
DUO_SECURITY,CISCO_SYSTEMS,BOLSTER,ORG,ORG,News
CISCO_SYSTEMS,SHARE,LOSE,ORG,ORG,News
ARISTA,SHARE,GAIN,ORG,ORG,News
ARISTA,CISCO_SYSTEMS,BEAT,ORG,ORG,News
CISCO_SYSTEMS,BUSINESS,GAIN,ORG,GPE,News
TIME,THE_FED,AIM,ORG,ORG,News
JOB_OPENINGS,WAGES,EXCEED,ORG,PERSON,News
COMPANIES,SANTAS,PROVIDE,ORG,ORG,News
THANKSGIVING,ALLEN,SELL,EVENT,PERSON,News
NEED,SHOPPERS,INCENTIVIZE,PERSON,PERSON,News
VICTORIAS_SECRET,MONEY,LEAVE,PERSON,ORG,News
BLOOMBERG_NEWS,PLANTS,REPORT,ORG,ORG,News
DOLLAR_TREE,PRODUCTS,SELL,ORG,ORG,News
COMPANIES,SALES,LOSE,ORG,PRODUCT,News
ANALYST_DAN_IVES,CNN_BUSINESS,TELL,PERSON,ORG,News
FACEBOOK,FACEBOOK_META,RENAME,PERSON,PERSON,News
COMPANIES,MONEY,BORROW,ORG,ORG,News
THE_BIDEN_ADMINISTRATION,THE_US,BLANKET,ORG,ORG,News
FORD,THE_F150_LIGHTNING,SELL,ORG,PRODUCT,News
FAMILIES,THE_NEW_YEAR,START,ORG,EVENT,News
FAMILIES,THE_WHITE_HOUSE,SEND,ORG,ORG,News
TESLA,1.2,GAIN,PRODUCT,PRODUCT,News
DRIVES,ARISTA_NETWORKS,SELL,PERSON,PERSON,News
WARD,MARKETWATCH,TELL,ORG,ORG,News
EVERYONE,INC.,CHASE,ORG,ORG,News
ROBLOXPRIVATELY,NIANTIC_INC.,HOLD,ORG,ORG,News
ZYNGA,ADS,EARN,PERSON,ORG,News
THE_FEDERAL_RESERVE,INFLATION,FIGHT,ORG,ORG,News
SHORTFALLS,TESLA,WORK,ORG,PRODUCT,News
PICKUP_TRUCK,TESLAS,LONGAWAITE,ORG,ORG,News
TESLA,GERMANY,RECEIVE,PRODUCT,GPE,News
WORKERS,ELON_MUSK,PUSH,ORG,PERSON,News
EMPLOYERS,TALENT,RETAIN,GPE,ORG,News
2022,OHIO,SHIFT,PRODUCT,GPE,News
COMPANIES,OHIO,SHIFT,ORG,GPE,News
THE_U.S.,PLANTS,BUILD,ORG,ORG,News
FIRMS,CHIP_SHORTAGES,FACE,ORG,PERSON,News
NASDAQ,2021,END,ORG,PRODUCT,News
TESLA,0.3,DIP,PRODUCT,PRODUCT,News
PRODUCTION_MATERIALS,TIMES,LEAD,ORG,ORG,News
SALES,4.6,FALL,PRODUCT,PRODUCT,News
TOYOTA,GENERAL_MOTORS,UNSEAT,ORG,ORG,News
RIVAL_TOYOTA,SALES,INCREASE,PERSON,PRODUCT,News
AMERICAS,AUTOMAKER,TOPSELLE,PERSON,PERSON,News
FEATURES,BUYERS,CHARGE,ORG,ORG,News
BUYERS,FEATURES,MISS,ORG,ORG,News
DUSTIN_KRAUSE,TESLA,JOIN,ORG,PRODUCT,News
CHRISTOPHER_VAN_DYKE,TESLA,COFOUNDE,PERSON,PRODUCT,News
CHRISTOPHER_VAN_DYKE,INSIDER,TELL,PERSON,PERSON,News
GREG_REICHOW,INSIDER,TELL,PERSON,PERSON,News
CARLSSON,TESLA,LEAVE,PERSON,PRODUCT,News
CARLSSON,INSIDER,TELL,PERSON,PERSON,News
SUPPLY,DEMAND,OUTSTRIP,ORG,ORG,News
FORD,THE_F150_LIGHTNING,ANNOUNCE,ORG,ORG,News
DEMAND,AMAZON,DESTROY,ORG,ORG,News
COMPANIES,GOODS,RETRIEVE,ORG,ORG,News
KELLEY_BLUE_BOOK,SHOPPERS,EXPAND,ORG,PERSON,News
TESLA,5.4,SLIDE,PRODUCT,PRODUCT,News
MICRON_TECHNOLOGY_INC.,CENTRAL_TEXAS,CONSIDER,ORG,ORG,News
MICRON,CHIPS,STOCKPILE,ORG,ORG,News
BUSINESSES,JOBS,FILL,PERSON,PERSON,News
BLOOMBERG,DATA,COMPILE,PERSON,ORG,News
HILL,TECHCRUNCH,TELL,ORG,ORG,News
BRANDS,INVENTORY,FEED,ORG,ORG,News
NIKE,DSW,LEAVE,ORG,PERSON,News
STORES,NIKE,CARRY,ORG,ORG,News
DSW,NIKE,SELL,PERSON,ORG,News
DSW,NIKE,REPLACE,PERSON,ORG,News
COVID19,INNOVATION,ACCELERATE,PERSON,NORP,News
AUSTRALIA,FURMAN,STAY,GPE,PERSON,News
CANON,CUSTOMERS,BYPASS,PRODUCT,ORG,News
U.S.,CHINA,CUT,GPE,GPE,News
CONSUMERS,GOODS,BUY,GPE,ORG,News
DEMAND,SUPPLY,OUTSTRIP,ORG,ORG,News
NICOLAS_PETER,REUTERS,TELL,PERSON,ORG,News
NOTHING,DEMAND,REDUCE,GPE,ORG,News
2019,TESLA,ANNOUNCE,PRODUCT,PRODUCT,News
2023,CYBERTRUCK,DELAY,PRODUCT,ORG,News
INTEL,GREATER_COLUMBUS,PICK,ORG,PERSON,News
SELLERS,MPB,FILL,ORG,ORG,News
FORD,SPIN,DIVEST,ORG,ORG,News
FORD,TECHCRUNCH_FORD,TELL,ORG,ORG,News
GOGORO,TAIWAN,DOMINATE,ORG,GPE,News
RIVIAN,TECHCRUNCH,TELL,NORP,ORG,News
CAKE,DOMETICS,MOUNT,PERSON,ORG,News
CADENCE,APPS,ACQUIRE,ORG,ORG,News
CADENCE,CHIPS,ACQUIRE,ORG,ORG,News
TESLA,2021,START,PRODUCT,PRODUCT,News
INC._REPORT,PELOTON,REPLACE,ORG,PERSON,News
STRAUSS,MOBILE,NEED,PERSON,GPE,News
PLAYERS,GAMES,PLAY,ORG,PRODUCT,News
THE_US,VERIZON,SET,ORG,GPE,News
MITSUBISHI_MOTORS_DE_MEXICO,SHORTAGES,ANTICIPATE,ORG,ORG,News
RUSSIA,UKRAINE,INVADE,GPE,GPE,News
SAMSUNG_ELECTRONICS_CO.,INTEL,OVERTAKE,ORG,ORG,News
DEMAND,MANUFACTURERS,MEET,ORG,ORG,News
COMPANIES,OHIO,OFFER,ORG,GPE,News
OHIO,INTEL,PICK,GPE,ORG,News
INFLATION,AUTOMOBILES,MANUFACTURE,ORG,PERSON,News
STEPS,CHIP_SHORTAGES,ADDRESS,PERSON,PERSON,News
INTEL,PLAN,CONFIRM,ORG,PERSON,News
INTEL,DANLEY,ADMIT,ORG,ORG,News
GPU,INTEL,SHIP,ORG,ORG,News
AMD,SHARE,GAIN,ORG,ORG,News
BIDEN,CONGRESS,PASS,PERSON,ORG,News
VMWARE,EMC,MERGE,ORG,ORG,News
MOUNT_PLEASANT,INTEL,PICK,ORG,ORG,News
WISCONSIN,OHIO,PICK,GPE,GPE,News
THE_US,TSMC,BUILD,ORG,ORG,News
STARLINK,INSIDER,SECURE,PERSON,PERSON,News
100,INSIDER,PAY,PRODUCT,PERSON,News
GELSINGER,TIME,TELL,PERSON,ORG,News
TIME,GELSINGER,TELL,ORG,PERSON,News
CUSTOMERS,MAVERICK_MAVERICK,BUY,ORG,PERSON,News
MAVERICKS,CUSTOMERS,BUY,ORG,ORG,News
FORD,DEMAND,FORECAST,ORG,ORG,News
THE_COMMERCE_DEPARTMENT,DATA,SUBMIT,ORG,ORG,News
STELLANTIS_STLA.MI,MINIVANS,BUILD,ORG,NORP,News
PRODUCTS,CHIPS,CONTAIN,ORG,ORG,News
ANALOG_DEVICESTHEY,CHIP_IP,DESIGN,ORG,PERSON,News
ANALOG_DEVICESTHEY,WAFER_FAB_EQUIPMENT,BUY,ORG,ORG,News
INTEL,TSMC,USE,ORG,ORG,News
ALEXGOOGLE,TOPICS,PROPOSE,ORG,ORG,News
THE_COMPANY,MACHINE,LEARN,ORG,ORG,News
STARTUP_SYLVERA,MACHINE,LEARN,PERSON,ORG,News
SOMETHING,BITCOIN,CREATE,PERSON,GPE,News
IMPORTS,PAY,HURT,ORG,GPE,News
RAIMONDO,LAWMAKERS,PASS,PERSON,PERSON,News
TEXAS_INSTRUMENTS,CAPACITY,ADD,ORG,ORG,News
MANUFACTURERS,CHIPS,NEE,ORG,ORG,News
CAPACITY,CHIPS,MANUFACTURE,ORG,ORG,News
BROKERS,SEMICONDUCTORS,SELL,ORG,GPE,News
BUSINESSES,SEMICONDUCTORS,PRODUCE,PERSON,GPE,News
BUSINESSES,SEMICONDUCTORS,USE,PERSON,GPE,News
THE_U.S.,THE_STRATEGIC_PETROLEUM_RESERVE,ESTABLISH,ORG,ORG,News
INVENTORIES,BUSINESSES,MEET,ORG,PERSON,News
BUSINESSES,INVENTORIES,DRAW,PERSON,ORG,News
RIFFLES,CLIENTS,DIVERSIFY,PERSON,ORG,News
BUSINESSES,INVENTORIES,MEET,PERSON,ORG,News
CANADA,MEXICO,JOIN,GPE,GPE,News
THE_COMPANY,INVENTORY,BUILD,ORG,ORG,News
TESLA_INC.,SALES,REPORT,ORG,PRODUCT,News
TESLA,MODEL_YS,BUILDING,PRODUCT,PERSON,News
INTEL,REVENUE,FORECAST,ORG,PRODUCT,News
TESLAS,CUSTOMERS,USE,ORG,ORG,News
GOVERNMENTS,CONSUMERS,ENTICE,NORP,GPE,News
YOURE,CONSUMERS,ASK,PERSON,GPE,News
TESLA,EARNINGS,POST,PRODUCT,ORG,News
BIDEN,GENERAL_MOTORS,PRESENT,PERSON,ORG,News
INC._REPORT,EARNINGS,POST,ORG,ORG,News
TESLA,EARNINGS,REPORT,PRODUCT,ORG,News
RETAILERS,GOODS,IMPORT,PERSON,ORG,News
SHORTAGES,APPLE_INC.,COST,ORG,ORG,News
INFLATION,COMPANIES,HURT,ORG,ORG,News
COMPANIES,INFLATION,AFFECT,ORG,ORG,News
BUSINESSES,INVENTORIES,REPLENISH,PERSON,ORG,News
SAVINGS,CONSUMERS,DEPLETE,ORG,GPE,News
APPLE,EARNINGS,REPORT,ORG,ORG,News
ROLLSROYCE,INSIDER,TELL,PERSON,PERSON,News
EARNINGS,THE_COMPANY,REPORT,ORG,ORG,News
TESLA,MODEL_3,SELL,PRODUCT,ORG,News
BILLY_STEELE,TIME,SPEND,PERSON,ORG,News
KYLE_DUMONT,TECHCRUNCH,TELL,PERSON,ORG,News
OHIO,INTEL,ATTRACT,GPE,ORG,News
THE_CALIFORNIA_DMV,WAYMO,ASK,ORG,ORG,News
MARKET,CALIFORNIAS,HEAD,PERSON,PERSON,News
BATTERIES,THINGS,BUILD,GPE,GPE,News
TESLA,INNOVATION,REPRESENT,PRODUCT,NORP,News
MUSK,UPFRONT,ANNOUNCE,ORG,ORG,News
RUSSIA,UKRAINE,REINVADE,GPE,GPE,News
META,DATA,TRAIN,ORG,ORG,News
FOUNDER,NIKE,TRANSITION,PERSON,ORG,News
SMARTPHONES,THESELL,USE,PERSON,ORG,News
CNBC,RICK_CASSIDY,TELL,ORG,PERSON,News
TAIWAN_SEMICONDUCTOR_MANUFACTURING_COMPANY,CHIPS,PRODUCE,ORG,ORG,News
CHINA,MORRIS_CHANG,CREATE,GPE,PERSON,News
MORRIS_CHANG,TSMC,FOUND,PERSON,ORG,News
THE_TAIWAN_STOCK_EXCHANGE,TSMC,LIST,ORG,ORG,News
TAIWAN,SOMETHING,FACE,GPE,PERSON,News
SONY,INVENTORY,BUILDING,ORG,ORG,News
SONY,SHORTAGES,EXPECT,ORG,ORG,News
SONY,MONEY,LOSE,ORG,ORG,News
EBIT,EARNINGS,ADJUST,ORG,ORG,News
INTEL,SAPPHIRE_RAPIDS,LAUNCH,ORG,GPE,News
AMD,EARNINGS,RELEASE,ORG,ORG,News
USA_TODAY.IN,VEDANT_PATEL,TELL,ORG,PERSON,News
THE_FEDERAL_RESERVE,CREDIT,TIGHTEN,ORG,PERSON,News
FORD_MOTOR_CO.,CHIP_SHORTAGES,SIDESTEP,ORG,PERSON,News
CHIP_SHORTAGES,CHEVY,DELAY,PERSON,ORG,News
BIDEN,LAWMAKERS,REACH,PERSON,PERSON,News
FORD,SALES,REPORT,ORG,PRODUCT,News
INTEL,MONEY,LOSE,ORG,ORG,News
SAMSUNG,INTEL,OVERTAKE,ORG,ORG,News
GOOGLE,SEARCH,WITHDRAW,ORG,ORG,News
SUNROOM,USERS,OFFER,ORG,ORG,News
FORD,CUSTOMERS,WARN,ORG,ORG,News
MARKET,TESLA,BRING,PERSON,PRODUCT,News
EARNINGS,FORD,ANNOUNCE,ORG,ORG,News
THE_COMMISSION,COMPANIES,DEMAND,ORG,ORG,News
SPACEX,FIJI,SELECT,ORG,GPE,News
HONDA,PLAN,STICK,ORG,PERSON,News
WAGES,INFLATION,OUTRUN,PERSON,ORG,News
INFLATION,EARNINGS,HIT,ORG,ORG,News
SMIC,SHANGHAI,OPEN,ORG,ORG,News
SMIC,FAB,OPEN,ORG,ORG,News
COVID,OMICRON,SHIFT,PERSON,ORG,News
COMPANIES,PRODUCTIVITY,BOOST,ORG,ORG,News
INFLATION,THE_FED,FORCE,ORG,ORG,News
MICHAEL_BRUSH,CLR,SUGGEST,PERSON,ORG,News
GENERAL_MOTORS,THINGS,ACCELERATE,ORG,GPE,News
TWITTER,CADILLAC,POST,GPE,ORG,News
REUTERS,INFORMATION,SHARE,ORG,ORG,News
SULAGNA_SAHA,CHRIS_EVANS,BRING,PERSON,PERSON,News
SOFTBANK,ARM,BUY,ORG,ORG,News
SOFTBANK,STOCK,BUY,ORG,ORG,News
INTELS,FOUNDRY_BUSINESS,FORM,GPE,ORG,News
EDMUNDS,DATA,TRACK,GPE,ORG,News
SCRONA_AG,CUSTOMERS,PRINT,ORG,ORG,News
ADVANCED_MICRO_DEVICES,EPS,POST,ORG,ORG,News
STEVE,IPHONE,REVEAL,PERSON,ORG,News
DEVELOPERS,SERVICES,SELL,PERSON,ORG,News
FITNESS,CUSTOMERS,INSPIRE,ORG,ORG,News
SHOPIFY,MACBOOK_PRO,M1POWERE,ORG,ORG,News
MARKETWATCH,STANLEY,ASK,ORG,PERSON,News
INFLATION,MOMENTUM,GATHER,ORG,PRODUCT,News
FED,INFLATION,BRING,ORG,ORG,News
THE_FED,INFLATION,BRING,ORG,ORG,News
THE_US,CHALLENGES,FACE,ORG,PERSON,News
THE_UK_GOVERNMENT,UKRAINE,DEPART,ORG,GPE,News
THE_US,RUSSIA,SANCTION,ORG,GPE,News
PLANTS,TSMC,BUILD,ORG,ORG,News
SAN_FRANCISCO,MOOV,COFOUNDE,GPE,ORG,News
CORNING,GLASS,PROVIDE,ORG,PERSON,News
INTEL,MANUFACTURING,INTEGRATE,ORG,ORG,News
MANUFACTURERS,PRESSURES,FACE,ORG,ORG,News
LG_DISPLAY,LX_SEMICON,SUPPLY,ORG,ORG,News
THEYRE,VEHICLES,TELL,ORG,GPE,News
DEMAND,SUPPLY,ACHIEVE,ORG,ORG,News
PORTUGUESE_NAVY,THINGS,HANDLE,ORG,GPE,News
APPLE,VENDORS,INFORM,ORG,PRODUCT,News
BOSCH,FAB,EXTEND,ORG,ORG,News
CHIPMAKERS,DEMAND,MEET,PRODUCT,ORG,News
THE_US,RUSSIA,SLAP,ORG,GPE,News
FIRMS,CHIPS,PRODUCE,ORG,ORG,News
FIRMS,CHIPS,IDENTIFY,ORG,ORG,News
LONDON,TAUR,LAUNCH,GPE,ORG,News
VEO,THE_COSMO_2,INTRODUCE,PERSON,PRODUCT,News
AXLEHIRE,COVET_SHIPPING,ACQUIRE,ORG,PERSON,News
CUSTOMERS,NIKOLA_CORP.,BUY,ORG,ORG,News
ARBE_ROBOTICS,THILO_KOSLOWSKI,APPOINT,PERSON,PERSON,News
FORT_LAUDERDALE,ELON_MUSK,BUILD,GPE,PERSON,News
THE_UNITED_STATES,CHINA,MIMIC,GPE,GPE,News
PANELISTS,TIMES,LEAD,NORP,ORG,News
EARNINGS,MICRON,REPORT,ORG,ORG,News
NOTHING,TECHCRUNCH,ANNOUNCE,GPE,ORG,News
JASON_KEATS,TECHCRUNCH,TELL,PERSON,ORG,News
RUSSIAS,TWITTER,ACCUSE,GPE,GPE,News
SERGEI_SHOIGU,GUTERRES,TELL,PERSON,PERSON,News
RUSSIA,CRIMEA,ANNEX,GPE,GPE,News
RIVIAN,CUSTOMERS,ALLOW,NORP,ORG,News
THE_UNITED_STATES,CRIMEA,ANNEX,GPE,GPE,News
LAWMAKERS,WARDLAW,TELL,PERSON,PERSON,News
FORD,SPIN,BUY,ORG,ORG,News
TIER,THE_U.S.,ENTER,ORG,ORG,News
TESLA,A_TIM_COOK,NEED,PRODUCT,PERSON,News
COFOUNDER,CHENG_LU,SUCCEED,ORG,PERSON,News
RIVIAN,PANASONIC,TAP,NORP,ORG,News
OKLAHOMA,PANASONIC,PURCHASE,GPE,ORG,News
TALENT,RESPONDENTS,CITE,ORG,ORG,News
BILLIONS,CARMAKERS,INVEST,GPE,ORG,News
RIVIAN,NUMBERS,REPORT,NORP,ORG,News
THE_FUTURE_FUND,BLACK,PUBLISH,ORG,NORP,News
TWITTER,BLACK,POST,GPE,NORP,News
TWITTER,TESLA,POST,GPE,PRODUCT,News
GERMAN,TESLA,POST,NORP,PRODUCT,News
MODELS,CONSUMERS,PULL,PERSON,GPE,News
MODELS,TESLA,BUY,PERSON,PRODUCT,News
QUAH,PRODUCTS,RECOMMEND,PERSON,ORG,News
RETAILERS,GOODS,SELL,PERSON,ORG,News
BUSINESSES,THE_BIDEN_ADMINISTRATION,REQUIRE,PERSON,ORG,News
INTEL,GERMANY,PICK,ORG,GPE,News
APPLE,REVENUE,EXPECT,ORG,PRODUCT,News
ADVERTISEMENT_FORD,EXPLORERS,SHIPPING,ORG,PRODUCT,News
ADVERTISEMENT_FORD,EXPLORERS,BUILD,ORG,PRODUCT,News
GERMANY,INTEL,WELCOME,GPE,ORG,News
THE_LABOR_DEPARTMENT,CONSUMERS,HIT,ORG,GPE,News
STELLANTIS,VEHICLES,PRODUCE,NORP,GPE,News
BLOOM,KHAN,JOIN,NORP,PERSON,News
MICROSOFT,CONSUMERS,DECEIVE,ORG,GPE,News
SONY,CONSUMERS,DECEIVE,ORG,GPE,News
FORD,REUTERS,TELL,ORG,ORG,News
CHIP_SHORTAGES,SALES,PRESSURE,PERSON,PRODUCT,News
PEI,ESSENTIAL_IP,PURCHASE,PERSON,ORG,News
2020,GENERAL_MOTORS,ISSUE,PRODUCT,ORG,News
MERCEDESBENZ,SOFTWARE,TWEAK,ORG,ORG,News
GENERAL_MOTORS,TOYOTA,DETHRONE,ORG,ORG,News
COLEMAN,INSIDER,TELL,PERSON,PERSON,News
CUSTOMERS,HARDWARE,PICK,ORG,ORG,News
BUSINESS_FORD,THE_F150_LIGHTNING,UNVEIL,ORG,PRODUCT,News
PLANT,GENERAL_MOTORS,SELL,GPE,ORG,News
FIAT_CHRYSLER,THE_COMPANY,KNOW,ORG,ORG,News
VALVES,STEAM_DECK,LAUNCH,ORG,ORG,News
AUTOMAKERSRE,FEATURES,STRIP,ORG,ORG,News
DEMAND,SUPPLY,OUTPACE,ORG,ORG,News
SOUTH_CAROLINA,SPOILER,PLAY,GPE,ORG,News
FACEBOOK,TIKTOK,MALIGN,PERSON,GPE,News
GOOGLE,ADS,SELL,ORG,ORG,News
VOLVO,CHIP_SHORTAGES,BLAME,ORG,PERSON,News
BUYERS,EQUITY,BUILD,ORG,ORG,News
COMPANIES,INVENTORIES,REDUCE,ORG,ORG,News
UKRAINIANS,THE_UNITED_STATES,WORK,NORP,GPE,News
BIDEN,OFFICE,ENTER,PERSON,ORG,News
SOMETHING,INFORMATION,GATHER,PERSON,ORG,News
SCHOOLS,KIDS,TREAT,GPE,PERSON,News
PARTNERS,ACCESS,NEE,ORG,PERSON,News
THE_WHITE_HOUSE,TWITTER,USE,ORG,GPE,News
MOTOROLA,SEMICONDUCTORS,MANUFACTURING,ORG,GPE,News
2019,APPLE,ANNOUNCE,PRODUCT,ORG,News
THE_WHITE_HOUSE,CONGRESS,PUSH,ORG,ORG,News
THE_WHITE_HOUSE,CONGRESS,APPROVE,ORG,ORG,News
WHITE_OAK_BAYOU,HOUSTON,MEET,ORG,GPE,News
THE_ASSOCIATED_PRESS,MATTHEW_BROWN,REPORT,ORG,PERSON,News
SILICON,BATTERIES,SOLIDSTATE,NORP,GPE,News
INVESTIGATION_BUREAU,REUTERS,TELL,ORG,ORG,News
LAWMAKERS,CONSENSUS,REACH,PERSON,ORG,News
CONSUMERS,MONEY,SPEND,GPE,ORG,News
CONSUMERS,CHILDREN,EQUIP,GPE,PERSON,News
2021,DEMAND,PULL,PRODUCT,ORG,News
GOOGLE,EMPLOYEES,OFFERING,ORG,ORG,News
THE_MODEL_S._RAWLINSON,TESLA,LEAVE,ORG,PRODUCT,News
MODELS,CONSUMERS,REACH,PERSON,GPE,News
THE_WHITE_HOUSE,LAWMAKERS,INCENTIVIZE,ORG,PERSON,News
THE_WHITE_HOUSE,CONGRESS,PASS,ORG,ORG,News
EVS,TOYODA,CRITICIZE,PERSON,PERSON,News
TESLA,TESLA_CYBERTRUCK,MAKE,PRODUCT,ORG,News
CONGRESS,RESEARCH,BOOST,ORG,ORG,News
TAIWAN_SEMICONDUCTOR,THESTREETS_BRUCE_KAMICH,FOLLOW,ORG,PERSON,News
TESLA,NHTSA,GRILL,PRODUCT,ORG,News
AUTHORITIES,NHTSA,EMPOWER,ORG,ORG,News
DATA,NHTSA,COLLECT,ORG,ORG,News
TESLA,AUTOPILOT,MARKET,PRODUCT,ORG,News
CHAIR_LINA_KHAN,INFORMATION,REVEAL,PERSON,ORG,News
NHTSA,TESLA,TELL,ORG,PRODUCT,News
NHTSA,TESLA,TAKE,ORG,PRODUCT,News
SETLOCK,INSIDER,TELL,ORG,PERSON,News
SETLOCK,LONGTERM,HOLD,ORG,NORP,News
SETLOCK,INSIDER_SETLOCK,TELL,ORG,PERSON,News
MANAGERS,EMPLOYEES,ATTEND,ORG,ORG,News
STAN_PAVLOVSKY,RIVIANS,START,PERSON,NORP,News
SCARINGE,REUTERS,TELL,ORG,ORG,News
NHTSA,TESLA,GRILL,ORG,PRODUCT,News
HOUSE,LAWMAKERS,JOIN,ORG,PERSON,News
TWITTER,MUSK,BUY,GPE,ORG,News
TESLA_INC_REPORT,MUSK,DISTRACT,PERSON,ORG,News
AUTONOMY,MUSK,OPTIMIZE,PERSON,ORG,News
OKLAHOMA,PANASONIC,EYE,GPE,ORG,News
THE_UNITED_STATES,WORLD_WAR_II,ENTER,GPE,EVENT,News
THE_WHITE_HOUSE,CONGRESS,PRESS,ORG,ORG,News
SCHUMER,ALBANYS_NANOTECH_COMPLEX,CONSIDER,PERSON,ORG,News
SCHUMER,ALBANYS_NANOTECH_COMPLEX,TOUR,PERSON,ORG,News
WASHINGTON,LAWMAKERS,RETURN,GPE,PERSON,News
ELIZABETH_WARREN_DMASS,REPUBLICANS,ACCUSE,PERSON,NORP,News
MANCHIN,THE_CENTRAL_BANK,ACCUSE,PERSON,ORG,News
MANCHIN,THE_BIDEN_ADMINISTRATION,ACCUSE,PERSON,ORG,News
REPUBLICANS,POWELL,SUPPORT,NORP,PERSON,News
INFLATION,FAMILIES,TAX,ORG,ORG,News
DMASS,REPUBLICANS,ACCUSE,ORG,NORP,News
DMASS,DEMOCRATS,WARN,ORG,NORP,News
IPHONE,APPLE,CUT,ORG,ORG,News
CHIP_SHORTAGES,APPLE,CUT,PERSON,ORG,News
THE_RUSSIAUKRAINE_WAR,REVENUE,AFFECT,EVENT,PRODUCT,News
NEED,STOCK,CLEAN,PERSON,ORG,News
MICROSOFT_CORPORATION_REPORT,EARNINGS,POST,ORG,ORG,News
MUSK,TWITTER,TROLL,ORG,GPE,News
UNITED_RENTALS,EXPECTATIONS,CRUSH,ORG,PERSON,News
CARMAKER,OUTLOOK,HOLD,ORG,GPE,News
APPLE_INC,CHIP_SHORTAGES,MANAGE,ORG,PERSON,News
CONSUMERS,NEW_IPHONES,SNAP,GPE,GPE,News
MANUFACTURERS,VEHICLES,SELL,ORG,GPE,News
COVID19,DEMAND,LOCKDOWN,PERSON,ORG,News
BUYERS,SPENDING,CUT,ORG,GPE,News
GOODS,COMPANIES,HIKE,ORG,ORG,News
SUBSCRIPTIONS,COMPANIES,HIKE,ORG,ORG,News
SUPPLY,SHORTFALLS,FACE,ORG,ORG,News
CHALLENGES,APPLE,EXPECT,PERSON,ORG,News
CHALLENGES,APPLE_INC.,EXPECT,PERSON,ORG,News
LUCID,TESLA,BEAT,PERSON,PRODUCT,News
VIC_LARANJA,THINGS,BUILDING,PERSON,GPE,News
LARANJA,BITCOIN,CHOOSE,NORP,GPE,News
THE_COMPANY,CLIENTS,EXPAND,ORG,ORG,News
BIDEN,OHIO,LOSE,PERSON,GPE,News
EARNINGS,EXPECTATIONS,BEAT,ORG,PERSON,News
THE_US,SEMICONDUCTORS,SHIP,ORG,GPE,News
JAPAN,SEMICONDUCTORS,SHIP,GPE,GPE,News
9TO5MAC,TSMC,APPEAR,PRODUCT,ORG,News
SP_GLOBAL_MARKET_INTELLIGENCE,DATA,PROVIDE,ORG,ORG,News
CALIFORNIA,AMD,HEADQUARTER,GPE,ORG,News
AMD,INTEL,CATCH,ORG,ORG,News
TALENT,RESPONDENTS,FILL,ORG,ORG,News
